TID,Items
1,"Bread,Corn,Dill,Ice cream,Sugar,Yogurt,Chocolate"
2,Milk
3,"Apple,Butter,Dill,Ice cream,Milk,Yogurt,Chocolate"
4,"Butter,Cheese,Dill,Milk,Garlic,Onion"
5,"Apple,Bread"
6,"Apple,Bread,Butter,Cheese,Dill,Ice cream,Garlic,Broccoli,Yogurt,Chocolate"
7,"Butter,Eggs,Ice cream,Kidney Beans,Milk,Garlic,Onion,Yogurt"
8,"Apple,Cheese,Eggs,Garlic,Sugar,Yogurt"
9,"Apple,Corn,Dill,Eggs,Ice cream,Milk,Garlic,Onion,Sugar,Broccoli,Yogurt,Chocolate"
10,"Apple,Dill,Eggs,Ice cream,Milk,Onion,Sugar,Broccoli,Chocolate"
11,"Apple,Bread,Cheese,Ice cream,Sugar,Broccoli"
12,"Apple,Bread,Cheese,Dill,Eggs,Ice cream,Kidney Beans,Garlic,Sugar,Yogurt,Chocolate"
13,"Onion,Broccoli,Chocolate"
14,"Ice cream,Sugar,Yogurt"
15,"Butter,Kidney Beans"
16,Yogurt
17,"Apple,Bread,Butter,Cheese,Ice cream,Garlic,Sugar"
18,"Apple,Eggs,Yogurt,Chocolate"
19,"Bread,Cheese,Kidney Beans,Sugar"
20,"Bread,Corn,Ice cream,Kidney Beans,Milk,Garlic,Sugar,Broccoli"
21,"Apple,Cheese,Ice cream,Sugar,Broccoli"
22,"Apple,Butter,Cheese,Kidney Beans,Broccoli,Yogurt"
23,"Bread,Cheese,Dill,Eggs,Ice cream,Kidney Beans,Milk,Broccoli,Yogurt,Chocolate"
24,"Bread,Butter,Cheese,Eggs,Ice cream,Kidney Beans,Sugar,Broccoli,Chocolate"
25,"Bread,Corn,Eggs,Kidney Beans,Milk,Garlic,Onion,Broccoli,Yogurt"
26,"Bread,Butter,Eggs,Milk,Yogurt,Chocolate"
27,"Bread,Butter,Cheese,Corn,Kidney Beans,Milk,Broccoli,Chocolate"
28,"Bread,Butter"
29,"Bread,Butter,Kidney Beans,Milk,Garlic,Broccoli,Yogurt,Chocolate"
30,"Apple,Bread,Ice cream,Onion,Yogurt"
31,"Corn,Dill,Milk,Broccoli,Chocolate"
32,"Apple,Bread,Butter,Dill,Milk,Broccoli,Yogurt"
33,"Cheese,Eggs,Kidney Beans"
34,"Dill,Milk,Garlic,Sugar"
35,"Bread,Dill,Ice cream,Onion,Chocolate"
36,"Cheese,Dill,Eggs,Onion,Broccoli,Chocolate"
